Station Name,Start Count,End Count,Start/End Ratio,Community_x,fullness_deviation_at_8,fullness_deviation_at_17,Utilisation_avg_at_8,Utilisation_avg_at_17,Community_y,Average Trip Duration (minutes)
"Brick Lane Market, Shoreditch",249,253,0.984189723320158,1,0.25,0.2083333333333333,0.3538461538461538,1.0307692307692309,1,11.065195381526104
"Bricklayers Arms, Borough",875,768,1.1393229166666667,2,0.0676691729323311,0.2561224489795923,6.876923076923077,6.0,2,11.081990457142856
"British Museum, Bloomsbury",649,595,1.0907563025210083,0,0.4171428571428572,0.2,4.430769230769231,4.584615384615384,0,10.190676425269643
"Broadcasting House, Marylebone",570,582,0.979381443298969,0,0.2188034188034188,0.0045685279187817,6.984615384615385,4.676923076923077,0,11.01007701754386
"Broadley Terrace, Marylebone",235,170,1.3823529411764706,0,0.2222222222222222,0.0722222222222221,3.0,0.7538461538461538,0,13.215734964539006
"Broadwick Street, Soho",665,747,0.8902275769745649,0,0.3333333333333333,0.0055555555555556,4.430769230769231,6.323076923076923,0,12.587061954887217
"Brunswick Square, Bloomsbury",685,711,0.9634317862165964,0,0.25,0.0833333333333333,3.3076923076923075,5.246153846153846,0,9.011405669099757
"Brushfield Street, Liverpool Street",1238,1672,0.7404306220095693,1,0.2607843137254902,0.0995917132920005,12.63076923076923,15.8,1,12.294025538502964
"Bruton Street, Mayfair",231,221,1.0452488687782806,0,0.5142857142857145,0.2233766233766234,0.1076923076923077,1.8,0,12.463046392496391
"Buckingham Gate, Westminster",376,407,0.9238329238329238,3,0.2983638743455498,0.0958333333333333,3.907692307692307,3.8,3,13.99119175531915
"Bunhill Row, Moorgate",1033,1083,0.953831948291782,1,0.1733333333333334,0.2147098515519567,10.476923076923075,9.553846153846154,1,9.49316808647951
"Bury Place, Holborn",444,455,0.9758241758241758,0,0.4809523809523811,0.0080340516094701,3.3846153846153846,4.030769230769231,0,11.053917717717718
"Butler Place, Westminster",428,436,0.981651376146789,3,0.3467661691542291,0.0,5.184615384615385,4.0,3,12.578535747663553
"Buxton Street 1, Shoreditch",161,146,1.1027397260273972,1,0.3024390243902439,0.5268292682926831,0.2,0.6,1,13.406285507246375
"Cadogan Gardens, Chelsea",349,254,1.374015748031496,3,0.1428571428571429,0.1073170731707319,2.076923076923077,1.0769230769230769,3,13.30925611270296
"Cadogan Place, Knightsbridge",179,199,0.8994974874371859,3,0.4856316297010608,0.3235294117647059,0.9846153846153848,0.9692307692307692,3,13.053337988826817
"Calshot Street , King's Cross",228,195,1.1692307692307693,0,0.2316666666666667,0.375,1.1384615384615384,1.0923076923076922,0,13.395234356725148
"Carey Street, Holborn",416,423,0.983451536643026,2,0.6655000000000001,0.2544902912621359,0.5230769230769231,2.507692307692308,2,10.64538000801282
"Cartwright Gardens , Bloomsbury",600,533,1.125703564727955,0,0.0809523809523808,0.2142857142857143,3.0153846153846158,2.6,0,9.765493888888887
"Central House, Aldgate",320,340,0.9411764705882352,1,0.1457364341085277,0.0777777777777777,2.723076923076923,2.6923076923076925,1,13.305755468749998
"Chadwell Street, Angel",674,552,1.2210144927536233,1,0.1555555555555555,0.2777777777777778,5.846153846153846,4.646153846153847,1,10.956288105835808
"Chapel Place, Marylebone",508,636,0.7987421383647799,0,0.2647403570941802,0.0244514106583072,4.046153846153846,3.5846153846153848,0,11.470273523622048
"Charlbert Street, St. John's Wood",340,293,1.1604095563139931,0,0.0251106194690264,0.2821629213483145,1.5846153846153843,1.0461538461538462,0,14.713701421568627
"Charles II Street, West End",337,419,0.8042959427207638,3,0.5716515609264856,0.0449866310160426,2.2153846153846155,2.9692307692307693,3,13.000132640949555
