Station,Start Count,End Count,Total Trips,Start/End,Community
"Great Percy Street, Clerkenwell",565,482,1047,1.1721991701244814,0
"Great Russell Street, Bloomsbury",517,551,1068,0.9382940108892922,0
"Great Suffolk Street, The Borough",470,448,918,1.0491071428571428,2
"Great Titchfield Street, Fitzrovia",457,435,892,1.0505747126436782,0
"Great Tower Street, Monument",742,869,1611,0.85385500575374,2
"Green Park Station, Mayfair",634,727,1361,0.8720770288858322,3
"Green Street, Mayfair",365,298,663,1.2248322147651007,3
"Greenberry Street, St.John's Wood",246,165,411,1.490909090909091,0
"Greycoat Street , Westminster",156,185,341,0.8432432432432433,3
"Grosvenor Crescent, Belgravia",108,122,230,0.8852459016393442,3
"Grosvenor Square, Mayfair",359,363,722,0.9889807162534435,3
"Guildhouse Street, Victoria",220,217,437,1.0138248847926268,3
"Guilford Street , Bloomsbury",864,805,1669,1.0732919254658384,0
"Hampstead Road, Euston",808,704,1512,1.1477272727272727,0
"Hampton Street, Walworth",460,481,941,0.9563409563409564,2
"Hardwick Street, Clerkenwell",375,303,678,1.2376237623762376,2
"Harper Road, The Borough",308,301,609,1.0232558139534884,2
"Harriet Street, Knightsbridge",286,284,570,1.0070422535211268,3
"Harrington Square 1, Camden Town",579,496,1075,1.1673387096774193,0
"Harris Academy, Bermondsey",378,359,737,1.052924791086351,2
"Harrowby Street, Marylebone",483,431,914,1.1206496519721578,0
"Hatton Garden, Holborn",822,828,1650,0.9927536231884058,1
"Hatton Wall, Holborn",889,918,1807,0.9684095860566448,1
"High Holborn , Covent Garden",803,908,1711,0.8843612334801763,0
"Hinde Street, Marylebone",504,568,1072,0.8873239436619719,0
"Holborn Circus, Holborn",1160,1456,2616,0.7967032967032966,1
"Holy Trinity Brompton, Knightsbridge",291,241,532,1.2074688796680497,3
"Hop Exchange, The Borough",1333,1870,3203,0.7128342245989305,2
"Horseferry Road, Westminster",591,626,1217,0.9440894568690096,3
"Houghton Street, Strand",489,542,1031,0.9022140221402214,2
"Houndsditch, Aldgate",435,602,1037,0.7225913621262459,1
"Howick Place, Westminster",611,705,1316,0.8666666666666667,3
"Howland Street, Fitzrovia",806,834,1640,0.9664268585131894,0
"Hoxton Station, Hoxton",385,351,736,1.0968660968660968,1
"Hoxton Street, Hoxton",292,268,560,1.0895522388059702,1
"Hyde Park Corner, Hyde Park",928,791,1719,1.1731984829329962,3
"Jewry Street, Aldgate",352,297,649,1.1851851851851851,1
"Kennington Cross, Kennington",809,761,1570,1.0630749014454666,2
"Kennington Road, Vauxhall",488,492,980,0.991869918699187,2
"Kennington Station, Kennington",356,337,693,1.056379821958457,2
"Killick Street, King's Cross",160,152,312,1.0526315789473684,0
"King Edward Street, St Pauls",410,449,859,0.9131403118040089,1
"King Edward Walk, Waterloo",159,153,312,1.0392156862745099,2
"Kings Gate House, Westminster",386,406,792,0.9507389162561576,3
"Kingsway Southbound, Strand",663,922,1585,0.7190889370932755,2
"Kingsway, Covent Garden",214,186,400,1.1505376344086022,0
"Knightsbridge, Hyde Park",142,61,203,2.3278688524590163,3
"LSBU (Borough Road), Elephant & Castle",321,336,657,0.9553571428571429,2
"Lambeth North Station, Waterloo",420,452,872,0.9292035398230089,2
"Lambeth Palace Road, Waterloo",897,849,1746,1.0565371024734982,2
"Lambeth Road, Vauxhall",444,413,857,1.0750605326876512,2
"Lavington Street, Bankside",438,404,842,1.0841584158415842,2
"Leman Street, Aldgate",517,451,968,1.146341463414634,2
"Leonard Circus , Shoreditch",790,790,1580,1.0,1
"Lincoln's Inn Fields, Holborn",623,695,1318,0.8964028776978418,0
"Little Argyll Street, West End",892,1027,1919,0.8685491723466408,0
"Lollard Street, Vauxhall",719,684,1403,1.0511695906432748,2
"Long Lane , Bermondsey",571,517,1088,1.1044487427466152,2
"Longford Street, The Regent's Park",230,193,423,1.1917098445595855,0
"Lower Marsh, Waterloo",499,475,974,1.0505263157894738,2
"Lower Thames Street, Monument",219,170,389,1.2882352941176471,2
"Macclesfield Rd, St Lukes",1101,778,1879,1.4151670951156812,1
"Malet Street, Bloomsbury",1289,1306,2595,0.9869831546707504,0
"Mallory Street, Marylebone",249,157,406,1.585987261146497,0
"Margery Street, Clerkenwell",360,332,692,1.0843373493975903,0
"Marylebone Lane, Marylebone",476,455,931,1.0461538461538462,0
"Millbank Tower, Pimlico",383,325,708,1.1784615384615384,3
"Millennium Hotel, Mayfair",161,192,353,0.8385416666666666,3
"Milroy Walk, South Bank",444,486,930,0.9135802469135802,2
"Montpelier Street, Knightsbridge",342,344,686,0.9941860465116279,3
"Monument Street, Monument",598,642,1240,0.9314641744548287,2
"Moor Street, Soho",782,858,1640,0.9114219114219114,0
"Moorfields, Moorgate",1294,1454,2748,0.889958734525447,1
"Murray Grove , Hoxton",535,419,954,1.2768496420047732,1
"Museum of London, Barbican",1015,953,1968,1.0650577124868836,1
"New Cavendish Street, Marylebone",330,415,745,0.7951807228915663,0
"New Fetter Lane, Holborn",748,705,1453,1.0609929078014184,1
"New Globe Walk, Bankside",319,304,623,1.049342105263158,2
"New Inn Yard, Shoreditch",510,499,1009,1.0220440881763526,1
"New Kent Road, The Borough",510,492,1002,1.0365853658536586,2
"New North Road 2, Hoxton",369,268,637,1.376865671641791,1
"Newgate Street , St. Paul's",1074,1231,2305,0.8724614134849715,1
"Newton Street, Covent Garden",337,334,671,1.0089820359281436,0
"North Audley Street, Mayfair",297,345,642,0.8608695652173913,3
"Northdown Street, King's Cross",290,221,511,1.3122171945701357,1
"Northington Street , Holborn",804,798,1602,1.0075187969924813,0
"Northumberland Avenue, Strand",289,325,614,0.8892307692307693,3
"Norton Folgate, Liverpool Street",459,483,942,0.9503105590062112,1
"Nutford Place, Marylebone",107,107,214,1.0,0
"Old Quebec Street, Marylebone",735,710,1445,1.0352112676056338,0
"Old Street Station, St. Luke's",1229,1336,2565,0.9199101796407185,1
"Ontario Street, Elephant & Castle",484,549,1033,0.8816029143897997,2
"Ossulston Street, Somers Town",739,670,1409,1.1029850746268657,0
"Paddington Street, Marylebone",598,585,1183,1.0222222222222221,0
"Page Street, Westminster",809,889,1698,0.9100112485939258,3
"Palissy Street, Shoreditch",390,349,739,1.1174785100286533,1
"Pall Mall East, West End",420,470,890,0.8936170212765957,3
"Pancras Road, King's Cross",226,209,435,1.0813397129186604,0
"Panton Street, West End",554,632,1186,0.8765822784810127,3
"Park Lane , Hyde Park",301,369,670,0.8157181571815718,3
"Park Lane, Mayfair",212,212,424,1.0,3
"Park Road (Baker Street), The Regent's Park",629,582,1211,1.0807560137457044,0
"Park Street, Bankside",218,239,457,0.9121338912133892,2
"Percival Street, Finsbury",638,530,1168,1.2037735849056603,1
"Pindar Street, Liverpool Street",252,323,575,0.7801857585139319,1
"Pitfield Street Central, Hoxton",568,447,1015,1.2706935123042506,1
"Pont Street, Knightsbridge",314,317,631,0.9905362776025236,3
"Porchester Place, Paddington",475,434,909,1.0944700460829493,0
"Portland Place, Marylebone",596,551,1147,1.0816696914700545,0
"Portman Square, Marylebone",365,356,721,1.0252808988764044,0
"Portugal Street, Holborn",537,645,1182,0.8325581395348837,2
"Poured Lines, Bankside",283,303,586,0.933993399339934,2
"Queen Mother Sports Centre, Victoria",442,524,966,0.8435114503816794,3
"Queen Street 1, Bank",1184,1699,2883,0.6968805179517363,2
"Queen Street 2, Bank",1162,1178,2340,0.9864176570458404,2
"Queen Victoria Street, St. Paul's",489,612,1101,0.7990196078431373,1
"Rampayne Street, Pimlico",547,515,1062,1.062135922330097,3
"Rathbone Street, Fitzrovia",502,472,974,1.0635593220338984,0
"Red Lion Square, Holborn",370,329,699,1.1246200607902737,0
"Red Lion Street, Holborn",1022,1004,2026,1.0179282868525896,0
"Regency Street, Westminster",559,511,1070,1.0939334637964775,3
"Risinghill Street, Angel",226,151,377,1.4966887417218544,0
"River Street , Clerkenwell",347,224,571,1.5491071428571428,1
"Rochester Row, Westminster",336,351,687,0.9572649572649573,3
"Rodney Road , Walworth",356,307,663,1.1596091205211727,2
"Roscoe Street, St. Luke's",526,456,982,1.1535087719298245,1
"Royal Avenue 1, Chelsea",96,109,205,0.8807339449541285,3
"Royal Avenue 2, Chelsea",175,176,351,0.9943181818181818,3
"Russell Square Station, Bloomsbury",783,794,1577,0.9861460957178841,0
"Sackville Street, Mayfair",457,531,988,0.8606403013182674,0
"Sadlers Sports Centre, Finsbury",702,621,1323,1.1304347826086956,1
"Sail Street, Vauxhall",389,342,731,1.1374269005847952,2
"Sancroft Street, Vauxhall",189,232,421,0.8146551724137931,2
"Scala Street, Fitzrovia",543,546,1089,0.9945054945054945,0
"Sea Containers, South Bank",764,741,1505,1.0310391363022942,2
"Sedding Street, Sloane Square",406,391,797,1.0383631713554988,3
"Seville Street, Knightsbridge",311,294,605,1.0578231292517006,3
"Seymour Place, Marylebone",486,509,995,0.9548133595284872,0
"Shoreditch High Street, Shoreditch",702,662,1364,1.0604229607250755,1
"Shouldham Street, Marylebone",502,491,993,1.0224032586558045,0
"Sloane Avenue, Knightsbridge",259,245,504,1.0571428571428572,3
"Smith Square, Westminster",565,592,1157,0.9543918918918919,3
"Snow Hill, Farringdon",682,650,1332,1.0492307692307692,1
"Snowsfields, London Bridge",666,704,1370,0.9460227272727273,2
"Soho Square , Soho",1187,1415,2602,0.83886925795053,0
"Somerset House, Strand",266,372,638,0.7150537634408602,2
"South Audley Street, Mayfair",176,204,380,0.8627450980392157,3
"Southampton Place, Holborn",556,558,1114,0.996415770609319,0
"Southampton Street, Strand",537,513,1050,1.0467836257309941,3
"Southwark Station 2, Southwark",844,870,1714,0.9701149425287356,2
"Southwark Street, Bankside",332,351,683,0.9458689458689459,2
"Southwick Street, Paddington",317,247,564,1.2834008097165992,0
"St Mary's Hospital, Paddington",508,473,981,1.0739957716701902,0
"St. Bride Street, Holborn",694,1001,1695,0.6933066933066933,2
"St. Chad's Street, King's Cross",283,322,605,0.8788819875776398,0
"St. George Street, Mayfair",347,401,748,0.8653366583541147,3
"St. James's Square, St. James's",968,1513,2481,0.6397884996695308,3
"St. John Street, Finsbury",462,356,818,1.297752808988764,0
"St. John's Wood Church, The Regent's Park",226,197,423,1.1472081218274113,0
"St. Katharine's Way, Tower",391,340,731,1.15,1
"St. Martin's Street, West End",188,237,425,0.7932489451476793,3
"St. Mary Axe, Aldgate",465,513,978,0.9064327485380117,1
"Stamford Street, South Bank",573,615,1188,0.9317073170731708,2
"Stanhope Gate, Mayfair",204,183,387,1.1147540983606556,3
"Store Street, Bloomsbury",743,722,1465,1.0290858725761773,0
"Storey's Gate, Westminster",737,771,1508,0.9559014267185474,3
"Strand, Strand",919,1025,1944,0.8965853658536586,2
"Strata, Elephant & Castle",782,905,1687,0.8640883977900552,2
"Sun Street, Liverpool Street",756,804,1560,0.9402985074626866,1
"Swan Street, The Borough",554,518,1072,1.0694980694980696,2
"Tachbrook Street, Victoria",511,450,961,1.1355555555555557,3
"Tallis Street, Temple",590,658,1248,0.8966565349544073,2
"Tanner Street, Bermondsey",730,590,1320,1.2372881355932204,2
"Tate Modern, Bankside",534,549,1083,0.9726775956284153,2
"Tavistock Place, Bloomsbury",518,414,932,1.251207729468599,0
"Tavistock Street, Covent Garden",658,775,1433,0.8490322580645161,0
