Station Name,Start Count,End Count,Start/End Ratio,Community_x,fullness_deviation_at_8,fullness_deviation_at_17,Utilisation_avg_at_8,Utilisation_avg_at_17,Community_y,Average Trip Duration (minutes),normalized_fullness_8,normalized_fullness_17,normalized_popularity,normalized_utilization_8,normalized_utilization_17,normalized_trip_duration,weighted_score,rank
"Claremont Square, Angel",358,212,1.6886792452830188,1,0.3333333333333333,0.3888888888888889,1.0,1.3076923076923077,1,9.530552420856612,0.45647558386411885,0.6781786826132723,0.6030997304582211,0.0202998126171143,0.019371011850501368,0.46188320803472493,0.6286041383795963,15.0
"Westminster Bridge Road, Elephant & Castle",99,103,0.9611650485436892,2,0.5846153846153864,0.2702467343976777,0.3230769230769231,0.4307692307692308,2,9.9916765993266,0.8005879470847648,0.4712800482369153,0.3432732316227462,0.00655840099937539,0.006381039197812215,0.48423086485973743,0.6284128189786324,16.0
"Cadogan Place, Knightsbridge",179,199,0.8994974874371859,3,0.4856316297010608,0.3235294117647059,0.9846153846153848,0.9692307692307692,3,13.053337988826817,0.6650369451320258,0.5641990720900333,0.3212491026561379,0.01998750780762024,0.014357338195077484,0.6326094605646138,0.6260741426770521,17.0
"Upper Grosvenor Street, Mayfair",58,49,1.183673469387755,0,0.4783625730994152,0.312403100775194,0.0307692307692307,0.0307692307692307,0,12.442597701149426,0.6550825045628934,0.5447960314149148,0.4227405247813411,0.000624609618988131,0.0004557885141294429,0.603010894721656,0.6250166884461806,18.0
"Harper Road, The Borough",308,301,1.0232558139534884,2,0.2733333333333334,0.4792717086834735,1.9538461538461536,1.2615384615384615,2,10.307341287878788,0.3743099787685775,0.8357962011654088,0.36544850498338877,0.039662710805746404,0.0186873290793072,0.49952905667207126,0.6187550866144901,19.0
"Edgware Road Station, Marylebone",394,348,1.132183908045977,0,0.3008928571428572,0.4178571428571429,4.061538461538461,2.230769230769231,0,11.319287690355331,0.41205072793448594,0.7286960742773223,0.4043513957307061,0.08244846970643346,0.03304466727438469,0.5485714447829856,0.6151247719053268,20.0
"LSBU (Borough Road), Elephant & Castle",321,336,0.9553571428571428,2,0.3,0.4571428571428573,1.7846153846153847,1.984615384615385,2,10.068121028037384,0.41082802547770697,0.7972059616025408,0.34119897959183676,0.03622735790131168,0.029398359161349138,0.4879356236617613,0.6133720965291748,21.0
"Drummond Street , Euston",421,325,1.2953846153846154,0,0.2848837209302326,0.4321428571428573,0.9846153846153848,1.2461538461538462,0,11.073952058590656,0.3901273885350319,0.7536087605774018,0.46263736263736266,0.01998750780762024,0.01845943482224248,0.5366816399069626,0.6113794846891147,22.0
"Risinghill Street, Angel",226,151,1.4966887417218544,0,0.1452631578947369,0.5152380952380955,0.4307692307692308,0.7538461538461538,0,11.511125958702063,0.19892725444183715,0.8985175525561971,0.5345316934720908,0.008744534665833853,0.011166818596171376,0.5578685842241273,0.6056533905684457,23.0
"Leman Street, Aldgate",517,451,1.146341463414634,2,0.2253945220388178,0.4573867100182891,1.6923076923076923,3.723076923076923,2,11.436538007736944,0.30866128814233007,0.7976312137157712,0.40940766550522645,0.034353529044347283,0.055150410209662715,0.5542537966912333,0.5977247013642112,24.0
